Accuracy,Precision,Recall,F1 Score,ROC AUC,Model,random_state,n_estimators,min_samples_split,min_samples_leaf,max_features,max_depth,bootstrap
0.4358288770053476,0.5555555555555556,0.02358490566037736,0.04524886877828054,0.5006551362683438,RandomForestClassifier,42,100,5,1,sqrt,3.0,False
0.4304812834224599,0.46153846153846156,0.02830188679245283,0.05333333333333334,0.4853540647565805,RandomForestClassifier,42,500,5,2,sqrt,5.0,False
0.4411764705882353,0.5882352941176471,0.04716981132075472,0.08733624454148471,0.472833682739343,RandomForestClassifier,42,300,5,2,sqrt,20.0,True
0.45454545454545453,0.6333333333333333,0.08962264150943396,0.15702479338842976,0.46220591660843235,RandomForestClassifier,42,200,5,2,,,True
0.49732620320855614,0.6153846153846154,0.3018867924528302,0.4050632911392405,0.521037153505707,RandomForestClassifier,42,100,2,1,sqrt,,True
0.4732620320855615,0.5330396475770925,0.5707547169811321,0.55125284738041,0.4471523410202656,RandomForestClassifier,42,100,10,1,,15.0,True
0.446524064171123,0.7777777777777778,0.0330188679245283,0.06334841628959276,0.4852375960866527,RandomForestClassifier,42,500,5,4,log2,3.0,True
0.47593582887700536,0.5645161290322581,0.330188679245283,0.4166666666666667,0.48833857442348005,RandomForestClassifier,42,500,10,1,,20.0,False
0.4358288770053476,0.5555555555555556,0.02358490566037736,0.04524886877828054,0.4766189145119963,RandomForestClassifier,42,500,10,4,sqrt,,False
0.4358288770053476,0.5454545454545454,0.02830188679245283,0.053811659192825115,0.4901875145585838,RandomForestClassifier,42,300,2,4,sqrt,10.0,False
0.4411764705882353,0.5882352941176471,0.04716981132075472,0.08733624454148471,0.46139063591893786,RandomForestClassifier,42,500,5,2,,5.0,True
0.4411764705882353,0.6153846153846154,0.03773584905660377,0.07111111111111111,0.48474260423945964,RandomForestClassifier,42,100,2,4,log2,15.0,False
0.4304812834224599,0.45454545454545453,0.02358490566037736,0.04484304932735426,0.48692639180060565,RandomForestClassifier,42,300,10,2,log2,5.0,False
0.47058823529411764,0.5583333333333333,0.3160377358490566,0.4036144578313253,0.48014209177731193,RandomForestClassifier,42,100,10,4,,3.0,False
0.4411764705882353,0.5652173913043478,0.06132075471698113,0.11063829787234042,0.4907116235732588,RandomForestClassifier,42,500,5,1,log2,20.0,True
