Accuracy,Precision,Recall,F1 Score,ROC AUC,Model,kernel,gamma,degree,coef0,C
0.48128342245989303,0.6363636363636364,0.19811320754716982,0.302158273381295,0.4571686466340555,SVC,rbf,scale,3,0.5,100.0
0.4411764705882353,0.6666666666666666,0.02830188679245283,0.05429864253393665,0.5074248777078967,SVC,linear,scale,4,0.1,100.0
0.4732620320855615,0.6595744680851063,0.14622641509433962,0.23938223938223938,0.44278476589797344,SVC,rbf,0.01,3,0.5,100.0
0.4625668449197861,0.6896551724137931,0.09433962264150944,0.16597510373443983,0.459090379687864,SVC,rbf,auto,4,0.5,10.0
0.5133689839572193,0.55859375,0.6745283018867925,0.6111111111111112,0.5017470300489169,SVC,poly,auto,2,0.0,10.0
0.4919786096256685,0.5466101694915254,0.6084905660377359,0.5758928571428571,0.46939785697647335,SVC,rbf,0.1,5,0.1,100.0
0.4946524064171123,0.583941605839416,0.37735849056603776,0.4584527220630373,0.46569997670626606,SVC,poly,0.1,5,0.1,100.0
0.4625668449197861,0.6896551724137931,0.09433962264150944,0.16597510373443983,0.459090379687864,SVC,rbf,auto,5,0.5,10.0
0.4304812834224599,0.4,0.009433962264150943,0.018433179723502304,0.5053866759841603,SVC,linear,0.01,3,0.5,1.0
0.5106951871657754,0.5535055350553506,0.7075471698113207,0.6211180124223602,0.5329315164220825,SVC,rbf,0.1,2,0.1,0.1
0.44385026737967914,0.5588235294117647,0.08962264150943396,0.15447154471544716,0.5398614022827859,SVC,poly,auto,5,0.0,1.0
0.5320855614973262,0.5682656826568265,0.7264150943396226,0.6376811594202898,0.5148788725832751,SVC,poly,0.1,2,0.0,10.0
0.42780748663101603,0.3333333333333333,0.009433962264150943,0.01834862385321101,0.4925460051246215,SVC,linear,0.01,5,0.1,10.0
0.42780748663101603,0.3333333333333333,0.009433962264150943,0.01834862385321101,0.5074539948753785,SVC,linear,0.01,4,0.1,10.0
0.4358288770053476,1.0,0.0047169811320754715,0.009389671361502348,0.5015140927090612,SVC,rbf,0.01,2,0.1,1.0
